idx,llama3,gpt4,code_gen,result_llama3,result_gpt4,result_code_gen,llama3_final,gpt4_final,code_gen_final
1,1,1,1,correct answer,correct answer,correct answer,0.924,0.9680000000000001,0.9520000000000001
2,1,1,0,correct answer,correct answer,runtime error,0.9480000000000001,0.964,0.14
3,1,1,0,correct answer,correct answer,runtime error,0.9480000000000001,0.9600000000000001,0.188
4,1,1,0,correct answer,correct answer,wrong answer,0.932,0.9560000000000001,0.22400000000000003
5,0,1,0,runtime error,correct answer,timeout error,0.156,0.86,0.164
6,1,0,0,correct answer,wrong answer,wrong answer,0.9560000000000001,0.24,0.228
7,1,1,0,correct answer,correct answer,timeout error,0.9600000000000001,0.9400000000000001,0.252
9,1,1,0,correct answer,correct answer,runtime error,0.9480000000000001,0.9400000000000001,0.23600000000000002
10,0,1,0,runtime error,correct answer,runtime error,0.14,0.9560000000000001,0.18
15,1,1,0,correct answer,correct answer,timeout error,0.892,0.9520000000000001,0.24000000000000002
16,1,1,1,correct answer,correct answer,correct answer,0.98,0.9760000000000001,0.9560000000000001
19,1,1,0,correct answer,correct answer,runtime error,0.9560000000000001,0.9720000000000001,0.22400000000000003
20,1,1,0,correct answer,correct answer,wrong answer,0.9560000000000001,0.964,0.14800000000000002
24,1,1,0,correct answer,correct answer,wrong answer,0.88,0.9600000000000001,0.196
28,0,1,0,runtime error,correct answer,timeout error,0.16,0.964,0.19599999999999998
31,1,1,0,correct answer,correct answer,runtime error,0.98,0.972,0.23200000000000004
34,1,1,0,correct answer,correct answer,runtime error,0.916,0.9560000000000001,0.264
35,1,1,0,correct answer,correct answer,wrong answer,0.924,0.9600000000000001,0.252
36,1,1,0,correct answer,correct answer,runtime error,0.9760000000000001,0.9600000000000001,0.188
37,1,1,0,correct answer,correct answer,wrong answer,0.964,0.9520000000000001,0.192
39,0,1,0,runtime error,correct answer,runtime error,0.32000000000000006,0.9560000000000001,0.264
41,0,1,0,runtime error,correct answer,wrong answer,0.15200000000000002,0.9480000000000001,0.25200000000000006
48,1,1,0,correct answer,correct answer,timeout error,0.9400000000000001,0.888,0.14400000000000002
50,0,1,0,runtime error,correct answer,wrong answer,0.29200000000000004,0.9480000000000001,0.172
52,1,1,0,correct answer,correct answer,wrong answer,0.9480000000000001,0.9600000000000001,0.21600000000000003
56,1,1,0,correct answer,correct answer,wrong answer,0.932,0.9520000000000001,0.23200000000000004
60,0,0,0,runtime error,wrong answer,wrong answer,0.204,0.21200000000000002,0.256
62,0,1,0,runtime error,correct answer,wrong answer,0.14800000000000002,0.9600000000000001,0.196
63,0,1,0,runtime error,correct answer,runtime error,0.136,0.9600000000000001,0.14
76,0,1,0,runtime error,correct answer,runtime error,0.15600000000000003,0.968,0.18000000000000002
77,0,1,0,runtime error,correct answer,runtime error,0.184,0.9440000000000001,0.172
79,0,0,0,runtime error,runtime error,runtime error,0.14800000000000002,0.264,0.14
80,0,1,0,runtime error,correct answer,wrong answer,0.20800000000000002,0.9680000000000001,0.22800000000000004
85,0,1,0,runtime error,correct answer,wrong answer,0.28400000000000003,0.896,0.18
94,0,0,0,timeout error,timeout error,runtime error,0.276,0.272,0.14800000000000002
114,0,0,0,runtime error,wrong answer,runtime error,0.272,0.252,0.19200000000000003
117,0,0,0,wrong answer,wrong answer,runtime error,0.276,0.33999999999999997,0.248
118,0,0,0,runtime error,timeout error,runtime error,0.30000000000000004,0.264,0.252
119,0,0,0,runtime error,timeout error,wrong answer,0.164,0.24400000000000002,0.244
132,0,0,0,runtime error,runtime error,runtime error,0.15200000000000002,0.22000000000000003,0.184
142,0,0,0,runtime error,wrong answer,wrong answer,0.16400000000000003,0.252,0.22000000000000003
146,0,0,0,timeout error,timeout error,wrong answer,0.28,0.264,0.22800000000000004
160,0,0,0,wrong answer,wrong answer,runtime error,0.22000000000000003,0.23600000000000004,0.14400000000000002
164,0,1,0,timeout error,correct answer,runtime error,0.244,0.9480000000000001,0.14400000000000002
172,0,0,0,timeout error,runtime error,runtime error,0.252,0.29200000000000004,0.176
173,0,0,0,wrong answer,wrong answer,runtime error,0.28400000000000003,0.31999999999999995,0.24000000000000002
178,0,0,0,runtime error,wrong answer,timeout error,0.14400000000000002,0.208,0.196
179,0,0,0,runtime error,timeout error,runtime error,0.088,0.276,0.26
187,0,0,0,runtime error,timeout error,runtime error,0.164,0.256,0.276
206,0,1,0,runtime error,correct answer,runtime error,0.23600000000000004,0.92,0.24000000000000002
208,0,0,0,runtime error,timeout error,wrong answer,0.232,0.23600000000000004,0.2
211,0,0,0,runtime error,timeout error,runtime error,0.2,0.30800000000000005,0.224
222,0,0,0,runtime error,wrong answer,wrong answer,0.23600000000000002,0.244,0.21200000000000002
231,0,0,0,runtime error,timeout error,wrong answer,0.20800000000000002,0.29600000000000004,0.248
249,0,0,0,runtime error,timeout error,wrong answer,0.14800000000000002,0.256,0.14800000000000002
250,0,1,0,runtime error,correct answer,runtime error,0.132,0.972,0.14
357,0,0,0,runtime error,timeout error,runtime error,0.136,0.268,0.14800000000000002
500,0,0,0,timeout error,timeout error,runtime error,0.14,0.196,0.184
